my_id;search_id;product_id_buy
3069752487489602814_4611689329848306197_10;ipadair2;mh1c2nfa
3070103476512031633_4611687130288780470_54;remorqueanimaux;hom6932185955414
3070268175622959178_4611687210280816291_6;beurerem41;beu4211125666002
3070276353240667662_4611687157131088043_94;aspirateursanssacrowentaro8213ea;rowro8213ea
3070656011169780868_6917530218957642459_21;litadulte;strass137203
3070854314104787756_4611687146393349572_126;coussins;cou3700273368421
3070854314104787756_4611687146393349572_126;coussins;fin56901cd
3070912212411430659_6917530139503575634_24;cartoucheepsonxp235;auc6931092012890
3071232509597494772_4611689325018899723_11;imprimantea3;c11cc97302
3071264399729694207_6917530169565604322_19;plaquesperlesarepasser;auc0028178234959
3071741493286872877_4611687145857496926_96;coussin60x60;fin12686cd
3071976284116559923_6917530268887614470_7;fenugrecbio;gph3700216228980
3072292307810161486_4611689318572889673_57;s24d340h;s24d340h
3072314334549943315_6917532343355937929_356;cartemicrosd;pnysd32gbperf50
3072375273693478648_6917530229695106275_197;decapeursthermique;bos3165140288385
3073223272036385458_4611687218870801516_21;salondejardin;fincblxs1401
3073467670707892192_4611689341658530005_47;grainesdefleurs;auc0791586183446
3073467670707892192_4611689341658530005_47;grainesdelegumesdejardins;auc2009963585089
3073467670707892192_4611689341658530005_47;grainesdelegumesdejardins;auc2009963587946
3073467670707892192_4611689341658530005_47;grainesdelegumesdejardins;auc2009963594807
3073488832011778981_4611687146393230873_4;eaudevieframboise;gisselframb
3073668638670146379_4611687216723390679_36;chaisecuba;bun6cubanoi
3074131646882061970_6917530165270918940_13;bancpliant;auc3000138839593
3074243532927612910_6917530167955064262_7;bijouxfemme;52hm102sg
3074362108384709474_4611687256989896800_99;parasolrectangulaire;ali3760247260304
3074564029829684371_4611687181289841307_37;hubhdmi;belkf3y045bf
3074571361338862256_6917530166344621851_30;samsung;samsungg531for
3074748966826456436_6917532356241814992_18;zelotes;auc0795400056978
3074791993808823738_6917532343893683176_113;plaqueagaz;hotehp640x
3074963569162403234_4611687134045217112_8;bureauado;6493buresucd
3074963569162403234_4611687134045217112_8;suspension;ama3520071354828
3075070713564050625_4611687208133627987_113;decodeurtnt;tekcommtct2100
3075075302736607159_4611687157667940466_16;filmecrans4;xep9767116197987
3075261384339037759_6917530342974908644_180;pamperssensitive;81441810
3075415829218659507_6917530149701464711_55;dvd;3259130242003
3075422076248589192_6917530153996557148_88;recepteursatellitehdcarte;sta3700973120473
3075453109534788099_6917530232916650432_35;alcatelonetouchidol3;avi3662427083584
